# opt_x	opt_y	sar_x	sar_y
865.5	764.5	866.5	765.5
166.5	605.5	166.5	606.5
350.5	305.5	351.5	304.5
35.5	467.5	35.5	465.5
504.5	877.5	506.5	877.5
814.5	723.5	812.5	723.5
50.5	524.5	50.5	525.5
788.5	582.5	787.5	583.5
42.5	541.5	41.5	541.5
805.5	399.5	805.5	401.5
604.5	658.5	604.5	660.5
44.5	507.5	42.5	507.5
413.5	240.5	413.5	240.5
867.5	743.5	867.5	745.5
39.5	500.5	39.5	500.5
240.5	302.5	239.5	301.5
937.5	383.5	937.5	383.5
121.5	507.5	122.5	506.5
824.5	535.5	826.5	535.5
994.5	849.5	992.5	849.5
558.5	858.5	558.5	856.5
170.5	259.5	169.5	260.5
262.5	336.5	262.5	334.5
107.5	562.5	105.5	562.5
483.5	855.5	482.5	856.5
772.5	534.5	771.5	533.5
43.5	524.5	44.5	524.5
210.5	690.5	209.5	689.5
497.5	922.5	496.5	923.5
38.5	683.5	39.5	683.5
286.5	677.5	285.5	677.5
258.5	355.5	256.5	355.5
804.5	374.5	806.5	374.5
52.5	445.5	51.5	446.5
926.5	486.5	926.5	488.5
251.5	392.5	251.5	394.5
950.5	338.5	950.5	339.5
163.5	367.5	163.5	369.5
789.5	391.5	789.5	390.5
82.5	147.5	83.5	148.5
114.5	500.5	114.5	499.5
123.5	206.5	124.5	206.5
94.5	367.5	94.5	365.5
32.5	365.5	32.5	364.5
247.5	261.5	247.5	261.5
780.5	330.5	782.5	330.5
77.5	341.5	76.5	341.5
53.5	427.5	53.5	426.5
918.5	333.5	917.5	333.5
996.5	365.5	997.5	364.5
79.5	495.5	79.5	497.5
